Timestep,C7,CLAV,LACR,LASI,LCAL,LFAradius,LFAsuperior,LFAulna,LLEL,LMEL,LMT5,LPSH,LPSI,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RASI,RCAL,RFAradius,RFAsuperior,RFAulna,RLEL,RLMAL,RMEL,RMMAL,RMT5,RPSI,RTB1,RTB2,RTB3,RTH1,RTH2,RTH3,RTOE,RUA1,RUA2,RUA3
All Timesteps RMSE,0.0304735,0.0185891,0.0253526,0.014105,0.0205909,0.00798402,0.00670289,0.00617413,0.00976691,0.00661656,0.0324973,0.0129927,0.0168564,0.0083229,0.0168777,0.00976454,0.0160258,0.0129177,0.010678,0.0417389,0.00992315,0.00816397,0.00783555,0.0223712,0.016155,0.0177995,0.00732487,0.00669298,0.00705787,0.011893,0.0101166,0.0114298,0.0221039,0.0322784,0.0125309,0.0103935,0.0113566,0.00858849,0.0127624,0.0152979,0.015082,0.040672,0.00823755,0.00630129,0.00596286
0,0.0198836,0.0136943,0.0233728,0.0138062,0.0328734,0.00433534,0.00964322,0.00939115,0.0169371,0.00420107,0.0175655,0.00593945,0.0136039,0.0157901,0.0364006,0.0179755,0.00452201,0.0041674,0.0139174,0.0157131,0.0068893,0.00640042,0.0076866,0.0262365,0.0165811,0.0303823,0.00956104,0.00496697,0.0100867,0.0127196,0.00709624,0.00725284,0.036339,0.0607229,0.00922313,0.00631063,0.0054062,0.0158176,0.0073748,0.0111726,0.00703279,0.0747801,0.00834132,0.00492575,0.00283112
1,0.0202638,0.0150354,0.0237191,0.0142938,0.0290918,0.00682621,0.0092416,0.0068785,0.0167561,0.00388807,0.0157252,0.00660907,0.0106729,0.0117757,0.029212,0.0141026,0.0066107,0.00653556,0.0125724,0.0179776,0.00659189,0.00561451,0.00794278,0.0254648,0.0167551,0.0278546,0.0070394,0.00456994,0.0101337,0.0122763,0.00184423,0.0089143,0.0338895,0.0540945,0.00841016,0.00910863,0.00743741,0.0153585,0.00946697,0.0180073,0.0115157,0.0671936,0.00570477,0.0040265,0.00259479
2,0.0208161,0.0165463,0.024588,0.0149911,0.0252766,0.00931459,0.00909722,0.00437439,0.0165644,0.00510886,0.0156033,0.00838313,0.009878,0.0100043,0.0236435,0.0117048,0.00677316,0.00663044,0.0109901,0.0224857,0.00681224,0.00575065,0.00898188,0.0248442,0.0165803,0.0256181,0.0064629,0.00508663,0.0107671,0.0125606,0.0021544,0.00976009,0.0323145,0.0495456,0.00794712,0.0118242,0.00839128,0.015064,0.011847,0.0233851,0.0153181,0.0619241,0.00350545,0.00347721,0.0021907
3,0.0212621,0.017903,0.0256274,0.0156269,0.0228371,0.0109616,0.00898346,0.00320231,0.0164307,0.0068701,0.0174919,0.0109783,0.0108999,0.00898109,0.02008,0.00998132,0.00516815,0.00525041,0.00953245,0.0270216,0.00761555,0.00735496,0.0107423,0.0243791,0.0162911,0.0240701,0.00709445,0.00626383,0.0114019,0.0133193,0.00289328,0.00959611,0.0310125,0.0457722,0.00724362,0.0127088,0.00799227,0.0138674,0.0134253,0.0260451,0.0168975,0.0576258,0.00257393,0.00376435,0.00166251
4,0.0215632,0.0187256,0.0262544,0.0158748,0.0225855,0.0113513,0.00851031,0.00294284,0.0160508,0.00779626,0.0196333,0.0132053,0.012763,0.00884604,0.018999,0.00864437,0.00457548,0.00589927,0.00930174,0.0302517,0.00898409,0.00900269,0.0120543,0.0240276,0.0161445,0.0235794,0.00816878,0.00746139,0.011955,0.0140188,0.00322801,0.00890513,0.0299349,0.042235,0.00648205,0.012066,0.00722264,0.0123793,0.0138417,0.0257089,0.0162927,0.05357,0.00296777,0.00588494,0.0027223
5,0.0218672,0.0190406,0.0261419,0.0150722,0.0242019,0.0104657,0.00759671,0.00249408,0.0151478,0.00730925,0.0209204,0.0140686,0.0141675,0.00960801,0.0199114,0.00801498,0.00591899,0.00711331,0.00951958,0.0317996,0.0105114,0.00968143,0.0120888,0.0237681,0.0159011,0.0237331,0.00906957,0.00818899,0.0124221,0.0142896,0.00412572,0.00832957,0.0290116,0.0389286,0.00602162,0.0107959,0.00688766,0.0112014,0.0134382,0.0235073,0.0147841,0.0495391,0.00314972,0.00854551,0.00433578
6,0.0222266,0.0191755,0.0255765,0.0131863,0.0268027,0.00878513,0.00639666,0.00278258,0.0138459,0.00574525,0.0214755,0.0135364,0.0147429,0.0102795,0.0213848,0.007728,0.0061316,0.00661982,0.00895544,0.0321882,0.0112157,0.00946951,0.0109973,0.0235997,0.0153659,0.0239334,0.00935987,0.00835384,0.0127505,0.0141477,0.00539027,0.00819839,0.0281188,0.0358761,0.00587606,0.0100395,0.00708302,0.0102478,0.0125096,0.0207804,0.0134098,0.0455447,0.00306176,0.0103454,0.00530981
7,0.0226329,0.0193895,0.025141,0.0111534,0.029637,0.00696229,0.00525592,0.00435102,0.0125634,0.0038948,0.0217619,0.0123132,0.0152497,0.00982384,0.0222706,0.0068524,0.00505672,0.00481013,0.00746341,0.0322504,0.0103595,0.00867599,0.0094431,0.0234828,0.0147821,0.0238714,0.0088451,0.00812321,0.0128418,0.0138533,0.00655942,0.00849088,0.0270945,0.033008,0.00613328,0.0104876,0.00749829,0.00916834,0.0112793,0.0180049,0.0121802,0.0416364,0.00315412,0.0105493,0.00523457
8,0.0231072,0.0197231,0.0251391,0.0096906,0.0323762,0.0054599,0.00464841,0.00616922,0.0115992,0.002448,0.0217461,0.0110996,0.0163157,0.00804058,0.0223902,0.00501461,0.00564688,0.00278995,0.0057219,0.0325357,0.00826992,0.00738644,0.00790305,0.0233256,0.0142819,0.0233439,0.00765399,0.00766003,0.0127011,0.0135438,0.00731685,0.00899378,0.0257075,0.0302681,0.00651523,0.0115867,0.00788509,0.00780574,0.0104225,0.0150395,0.010701,0.0377512,0.00347892,0.00925482,0.00422926
