Timestep,C7,CLAV,LACR,LASI,LCAL,LFAradius,LFAsuperior,LFAulna,LLEL,LMEL,LPSI,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RASI,RCAL,RFAradius,RFAsuperior,RFAulna,RLEL,RMEL,RMT5,RPSI,RTB1,RTB2,RTB3,RTH1,RTH2,RTH3,RTOE,RUA1,RUA2,RUA3
All Timesteps RMSE,0.0235558,0.00601882,0.0101693,0.0123307,0.00675834,0.00620133,0.00645106,0.00599229,0.00840446,0.0135304,0.0102782,0.012353,0.0110471,0.00803299,0.0175266,0.0125554,0.0131577,0.0149093,0.0163221,0.013928,0.0100653,0.0133273,0.00956863,0.0065946,0.00645638,0.00717019,0.00697499,0.015412,0.0163649,0.0134773,0.0134848,0.00955218,0.0117721,0.00770047,0.0139144,0.0133342,0.01362,0.0107356,0.0123705,0.0119241,0.0110342
0,0.0249399,0.00884808,0.00836854,0.0132381,0.008229,0.00221364,0.00520784,0.0076995,0.00871846,0.0158905,0.0154743,0.0188013,0.0133371,0.0107253,0.0164295,0.00713027,0.0156803,0.012066,0.00803462,0.0178375,0.00920159,0.0170728,0.0122444,0.000554166,0.00678434,0.00773924,0.011266,0.0205152,0.0197942,0.0067455,0.00671482,0.00714467,0.0139247,0.00434994,0.021887,0.0196118,0.00954746,0.00782453,0.0120344,0.00785877,0.0115797
1,0.0262473,0.00975631,0.00675342,0.0138029,0.00268045,0.00357485,0.00369541,0.0043887,0.00901987,0.0149331,0.0132689,0.0164504,0.0126942,0.00965407,0.0159551,0.0096811,0.0106298,0.0151543,0.00973371,0.017043,0.00911963,0.0185204,0.0131056,0.00202677,0.00490203,0.00529295,0.00794447,0.0220957,0.019929,0.00841664,0.00198605,0.00592886,0.0140311,0.00469603,0.0267226,0.0213053,0.0116992,0.00698173,0.0126346,0.00935316,0.0132588
2,0.0272416,0.0104707,0.0056817,0.0146869,0.00550075,0.00612574,0.00352814,0.00363445,0.0090174,0.0143035,0.0121289,0.0138941,0.0128863,0.00964082,0.015727,0.0126341,0.00871037,0.0170651,0.0109579,0.0165291,0.00880363,0.018745,0.0144399,0.00296956,0.00495383,0.00409469,0.0061125,0.0231513,0.0199232,0.0101992,0.00391614,0.00577278,0.0151805,0.00484967,0.0295872,0.0218649,0.0125955,0.00661214,0.011732,0.00999722,0.0138961
3,0.0276956,0.0103264,0.00512097,0.0153422,0.00601934,0.00716165,0.00336918,0.00378133,0.00826812,0.0139693,0.0115216,0.0107471,0.0121465,0.00939009,0.0164351,0.0139712,0.00769357,0.0172377,0.0112287,0.0160793,0.00786846,0.0178206,0.0149918,0.0037641,0.00502492,0.00290386,0.00529723,0.0231568,0.019252,0.0109826,0.00741748,0.0063087,0.0169122,0.00344792,0.0300587,0.0209092,0.0121688,0.00584577,0.00936897,0.00940099,0.0131807
4,0.0275754,0.00925143,0.00503151,0.0152126,0.00453127,0.00689762,0.0029326,0.00361147,0.00673306,0.0138748,0.010913,0.00712578,0.0102111,0.00874171,0.0179333,0.0140798,0.00776594,0.0164896,0.0105163,0.0155752,0.00629602,0.0162694,0.01393,0.0047951,0.00459887,0.00131844,0.00567574,0.0221028,0.0177065,0.0109049,0.0100771,0.00719966,0.0186904,0.0019123,0.0282847,0.0184889,0.0107803,0.00491794,0.00615088,0.00786004,0.0111281
5,0.0271324,0.00761171,0.00534503,0.0140934,0.0034442,0.00612356,0.00320769,0.00369104,0.00486083,0.0139502,0.0103137,0.00462313,0.00793158,0.00756457,0.0192189,0.0137291,0.00948798,0.0153701,0.00956565,0.0148443,0.00454564,0.0148955,0.0110683,0.00537736,0.00413043,0.00068994,0.00686664,0.020398,0.015729,0.0102316,0.0122119,0.00798623,0.0199821,0.0017084,0.0248189,0.0149292,0.0092222,0.00432351,0.00381679,0.00641996,0.00820054
6,0.026731,0.00587372,0.00593939,0.0123837,0.00478221,0.00548581,0.00437035,0.00418724,0.00331986,0.014152,0.0100059,0.00657088,0.00749928,0.00594091,0.0193617,0.0133438,0.0112178,0.0133993,0.00938971,0.0138013,0.00351967,0.0142758,0.00731783,0.00467347,0.00394159,0.00205983,0.00807363,0.018466,0.01405,0.00896587,0.014139,0.00844508,0.0205241,0.0029338,0.0201622,0.0108406,0.00847695,0.00353689,0.00484863,0.00640161,0.00511846
7,0.0266411,0.00440547,0.0068536,0.0108809,0.00585535,0.00528852,0.00583366,0.00497531,0.00293681,0.0144731,0.0100725,0.0100786,0.00932336,0.00443847,0.0180993,0.0128805,0.0116757,0.00987161,0.0103863,0.012763,0.00429986,0.0144939,0.00436638,0.0025574,0.003954,0.00343798,0.0088858,0.016534,0.013139,0.00713312,0.0157985,0.00876801,0.0204099,0.00493686,0.0148321,0.00813535,0.00898947,0.00204233,0.00735021,0.00788899,0.00301275
8,0.0269476,0.00344704,0.0082167,0.0100512,0.00602642,0.00558327,0.00725172,0.00602435,0.00362455,0.0147396,0.0103511,0.0124961,0.0108085,0.00401444,0.0159171,0.0122362,0.0114515,0.00594179,0.0121195,0.0122743,0.00626004,0.0152988,0.00320901,0.000849646,0.0040938,0.0051372,0.00917347,0.0146907,0.0128914,0.00547447,0.0169668,0.00928851,0.0199144,0.00724627,0.00974036,0.00956447,0.0100142,0.00209728,0.00955509,0.00985861,0.0036173
