Timestep,C7,CLAV,LACR,LASI,LCAL,LFAradius,LFAsuperior,LFAulna,LLEL,LMEL,LMT5,LPSI,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RASI,RCAL,RFAradius,RFAsuperior,RFAulna,RLEL,RMEL,RMT5,RPSI,RTB1,RTB2,RTB3,RTH1,RTH2,RTH3,RTOE,RUA1,RUA2,RUA3
All Timesteps RMSE,0.0388528,0.0356397,0.0368371,0.036231,0.0396068,0.0355609,0.0347104,0.0351696,0.0402973,0.0383691,0.0451185,0.0439937,0.0360054,0.0357904,0.0370698,0.0384026,0.038958,0.0369053,0.0459105,0.0361719,0.0365752,0.0356936,0.0350041,0.0356016,0.0408663,0.0346832,0.0346842,0.034865,0.038902,0.0356271,0.051333,0.0440581,0.0360205,0.0364955,0.0354409,0.0374063,0.0371453,0.0368924,0.0540915,0.0350745,0.0347252,0.0350065
0,0.0939411,0.0783469,0.0805516,0.0763635,0.0867618,0.0835624,0.0794762,0.0754314,0.0990786,0.0893891,0.107898,0.0521942,0.0728164,0.0779983,0.072948,0.08079,0.0676747,0.0728978,0.0788355,0.0773527,0.0771475,0.0793495,0.0762193,0.0854346,0.0982763,0.0854798,0.0792927,0.0755319,0.0939692,0.0747097,0.0984713,0.0598958,0.0834731,0.0790523,0.0833013,0.0811754,0.0875031,0.0813391,0.0885341,0.074529,0.0800394,0.0781451
1,0.094267,0.079219,0.0806146,0.0759101,0.0846761,0.0817737,0.0782028,0.0747746,0.0978536,0.0888971,0.104839,0.0519824,0.069867,0.0770626,0.0751418,0.0784647,0.0642183,0.0681989,0.0780885,0.0759561,0.0757,0.0777619,0.0777419,0.0814769,0.0802748,0.0845735,0.0785218,0.0749729,0.0928967,0.0729419,0.0918981,0.0599123,0.0741995,0.0703165,0.0718055,0.0736967,0.0813176,0.0742101,0.0776299,0.0744847,0.0791318,0.0772353
2,0.0938002,0.0789485,0.0798682,0.0750601,0.0834209,0.0797612,0.0764953,0.0732122,0.09634,0.0879711,0.100581,0.0510248,0.0685933,0.0771089,0.0774913,0.0755763,0.0612972,0.0647794,0.0774995,0.0743,0.0744345,0.0761466,0.0781794,0.0780591,0.0736013,0.0829203,0.0768984,0.0737234,0.0913166,0.0709108,0.0937435,0.0585368,0.0696395,0.0674029,0.0687015,0.0669844,0.0757423,0.0693054,0.0773035,0.073678,0.0777004,0.0757915
3,0.0928064,0.0778244,0.0785953,0.073794,0.0826044,0.0781188,0.0747832,0.0714242,0.0947082,0.0868084,0.0951265,0.0494734,0.0692479,0.0777234,0.079582,0.0724267,0.0593184,0.0630863,0.0761422,0.0726786,0.0735674,0.074726,0.0778036,0.0754242,0.0741236,0.0810253,0.0749282,0.0722661,0.0897058,0.0691168,0.0990799,0.0560583,0.0689226,0.0687475,0.0703517,0.0617471,0.0714642,0.0670697,0.0809023,0.0724584,0.0762334,0.0742764
4,0.0915868,0.0762276,0.0771215,0.0721711,0.0814837,0.077018,0.0734835,0.0700126,0.0931922,0.0855292,0.089379,0.0475741,0.0712029,0.0779894,0.0807004,0.0694066,0.0586409,0.0633438,0.0736038,0.0713409,0.0730218,0.073661,0.0769045,0.0735561,0.0773619,0.0793871,0.0730718,0.0709738,0.0883485,0.0679285,0.105021,0.0530683,0.070677,0.0718996,0.0730394,0.0588794,0.0694974,0.0675062,0.0860042,0.0711053,0.0750751,0.072986
5,0.0902863,0.0744311,0.075626,0.0703433,0.0792787,0.0761518,0.0726713,0.0690595,0.0919077,0.0840997,0.0844672,0.0456803,0.0727467,0.0770032,0.080247,0.0668436,0.0591834,0.0651272,0.0706866,0.0702396,0.0724214,0.0728511,0.0756797,0.072137,0.0805194,0.0781953,0.0715117,0.0699097,0.0870797,0.0673745,0.109867,0.050198,0.0730273,0.074162,0.0744371,0.0587542,0.0704497,0.0698892,0.0918124,0.0696807,0.074138,0.0718791
6,0.0889332,0.0726071,0.0741951,0.0685487,0.0758021,0.0753358,0.0722213,0.0684359,0.0908892,0.0825335,0.0806248,0.0442405,0.0722836,0.0746236,0.0783191,0.0650623,0.0604451,0.0674522,0.0685488,0.0691618,0.0715159,0.07209,0.0743122,0.070908,0.0825718,0.0774285,0.0702971,0.0690493,0.085665,0.0672959,0.112544,0.0479353,0.0744417,0.0741474,0.0743252,0.0608675,0.0739268,0.0732214,0.0970672,0.0682048,0.0731509,0.0708627
7,0.0875499,0.0708883,0.0729246,0.0670488,0.0713361,0.0746009,0.0719717,0.0680133,0.0901066,0.080944,0.0770412,0.0435286,0.069644,0.0715345,0.0758295,0.0643055,0.0616624,0.0692626,0.067674,0.0680009,0.0703734,0.0712462,0.0729962,0.0698209,0.0836856,0.0769627,0.069413,0.0683738,0.0841388,0.067367,0.112562,0.046671,0.0743741,0.072332,0.0734491,0.0635199,0.0781722,0.0760115,0.099998,0.0667657,0.0719396,0.0699409
8,0.086194,0.0693615,0.0719377,0.0660191,0.0668864,0.0739353,0.0717544,0.06762,0.0894355,0.0794508,0.0729642,0.0434089,0.0664697,0.0687569,0.0741376,0.0645163,0.0623744,0.0699962,0.0679167,0.0668426,0.0691893,0.0703049,0.0718704,0.0689435,0.0843655,0.0766187,0.0687727,0.0678026,0.0827744,0.0671828,0.109898,0.046737,0.0731957,0.0700736,0.0722689,0.0644872,0.0806144,0.0765043,0.0991946,0.0654892,0.0705028,0.0691565
