Average Residual Force,Solver,Axis,Subject
12.643943670395688,RRA,FX,subject01
11.515062246045611,RRA,FX,subject02
14.657689697778645,RRA,FX,subject03
16.474579903384754,RRA,FX,subject04
12.357076731603998,RRA,FX,subject08
21.719320396301214,RRA,FX,subject10
17.853042459278175,RRA,FX,subject11
15.961613056399363,RRA,FX,subject17
12.408544200488114,RRA,FX,subject19
17.25745658292937,RRA,FX,subject20
13.366894535062306,RRA,FY,subject01
13.865928785047474,RRA,FY,subject02
13.143538270530309,RRA,FY,subject03
16.52362639539631,RRA,FY,subject04
9.322036639645333,RRA,FY,subject08
30.339400444671174,RRA,FY,subject10
17.017286446728065,RRA,FY,subject11
16.79255938635548,RRA,FY,subject17
16.7159499156832,RRA,FY,subject19
14.505674053628715,RRA,FY,subject20
10.331179383971362,RRA,FZ,subject01
15.423167685888245,RRA,FZ,subject02
13.767173161489234,RRA,FZ,subject03
12.13970679938591,RRA,FZ,subject04
11.569920304980931,RRA,FZ,subject08
16.012301323535198,RRA,FZ,subject10
15.186823469446585,RRA,FZ,subject11
14.915294027716456,RRA,FZ,subject17
16.56405041323625,RRA,FZ,subject19
13.656656332887001,RRA,FZ,subject20
8.157828717374976,RRA3,FX,subject01
6.157047148309814,RRA3,FX,subject02
8.058837790509854,RRA3,FX,subject03
9.500887658216026,RRA3,FX,subject04
8.74442642681953,RRA3,FX,subject08
13.10704113481968,RRA3,FX,subject10
9.721057426982181,RRA3,FX,subject11
9.400373290127051,RRA3,FX,subject17
8.760651218229171,RRA3,FX,subject19
9.851581155027542,RRA3,FX,subject20
8.75133973809032,RRA3,FY,subject01
6.216360164485792,RRA3,FY,subject02
7.1820137341408925,RRA3,FY,subject03
9.81560194651731,RRA3,FY,subject04
5.6125169604175165,RRA3,FY,subject08
15.045739150456612,RRA3,FY,subject10
10.557159584688216,RRA3,FY,subject11
8.887627723511395,RRA3,FY,subject17
8.21011064783656,RRA3,FY,subject19
9.341789413944456,RRA3,FY,subject20
7.853533039340415,RRA3,FZ,subject01
8.76099164037601,RRA3,FZ,subject02
7.9465192642288445,RRA3,FZ,subject03
7.16472723668713,RRA3,FZ,subject04
6.792577887658112,RRA3,FZ,subject08
8.971330247013778,RRA3,FZ,subject10
8.449403687687683,RRA3,FZ,subject11
10.658774052728925,RRA3,FZ,subject17
12.001392793992578,RRA3,FZ,subject19
8.244269484366818,RRA3,FZ,subject20
0.02618294380220455,Moco,FX,subject01
0.023882610987859983,Moco,FX,subject02
0.030431597969411892,Moco,FX,subject03
0.3138849435839472,Moco,FX,subject04
0.04850870778607696,Moco,FX,subject08
0.7001450647106325,Moco,FX,subject10
0.01005925557305737,Moco,FX,subject11
0.16149426670398057,Moco,FX,subject17
0.8627703141668226,Moco,FX,subject19
0.22782261532186857,Moco,FX,subject20
0.03879049548878824,Moco,FY,subject01
0.034561370406338617,Moco,FY,subject02
0.06931841346009639,Moco,FY,subject03
0.29379463500461944,Moco,FY,subject04
0.08670420102126852,Moco,FY,subject08
4.970014407933481,Moco,FY,subject10
0.024369501962206486,Moco,FY,subject11
0.7055868458210014,Moco,FY,subject17
1.0175600404485634,Moco,FY,subject19
0.6110587653864298,Moco,FY,subject20
0.1032100518237999,Moco,FZ,subject01
0.051778674069217656,Moco,FZ,subject02
0.0656986534571774,Moco,FZ,subject03
0.07608546482810803,Moco,FZ,subject04
0.0626782269317067,Moco,FZ,subject08
0.6725121819498606,Moco,FZ,subject10
0.1099440688150632,Moco,FZ,subject11
0.12930378533930875,Moco,FZ,subject17
0.3311600789032812,Moco,FZ,subject19
0.16091597193286075,Moco,FZ,subject20
2.7505951956897703,AddBiomechanics,FX,subject01
5.85039048560944e-11,AddBiomechanics,FX,subject02
0.7794499633465347,AddBiomechanics,FX,subject03
68.76318506864686,AddBiomechanics,FX,subject04
1.0296405761782184,AddBiomechanics,FX,subject08
1.17899456218482,AddBiomechanics,FX,subject10
3.430612912712868e-11,AddBiomechanics,FX,subject11
1.8473971954247457,AddBiomechanics,FX,subject17
0.454190489348998,AddBiomechanics,FX,subject19
4.317517093650517,AddBiomechanics,FX,subject20
2.373249335184819,AddBiomechanics,FY,subject01
1.3525213215547285e-10,AddBiomechanics,FY,subject02
1.5045581098382854,AddBiomechanics,FY,subject03
137.0527723009901,AddBiomechanics,FY,subject04
0.7733250833584157,AddBiomechanics,FY,subject08
4.506746492825081,AddBiomechanics,FY,subject10
8.172988078415841e-11,AddBiomechanics,FY,subject11
9.025478181534615,AddBiomechanics,FY,subject17
0.9313230610447484,AddBiomechanics,FY,subject19
7.289376364267299,AddBiomechanics,FY,subject20
3.5235042535511547,AddBiomechanics,FZ,subject01
5.418060218040453e-11,AddBiomechanics,FZ,subject02
1.4071537742343239,AddBiomechanics,FZ,subject03
62.802639694059394,AddBiomechanics,FZ,subject04
1.0238598280716171,AddBiomechanics,FZ,subject08
1.5393385776666644,AddBiomechanics,FZ,subject10
2.0142337961914188e-11,AddBiomechanics,FZ,subject11
1.6131271080778997,AddBiomechanics,FZ,subject17
0.588045278978552,AddBiomechanics,FZ,subject19
0.8404926362006471,AddBiomechanics,FZ,subject20
